Team,hg_scored,hg_conceded,home_gd,home_points,home_wins,avg_hgs,avg_hgc,avg_hgd,avg_home_points,avg_home_wins,home_matches,seasons,ag_scored,ag_conceded,away_gd,away_points,away_wins,avg_ags,avg_agc,avg_agd,avg_away_points,avg_away_wins,away_matches,total_scored,total_conceded,total_gd,total_points,total_wins,total_matches,total_avg_scored,total_avg_conceded,total_avg_points,total_avg_wins,hfa_goals_scored,hfa_goals_scored_prop,hfa_goals_conceded,hfa_goals_conceded_prop,hfa_wins,hfa_wins_prop
Arsenal,1154,479,675,1230,368,2.0460992907801416,0.849290780141844,1.196808510638298,2.1808510638297873,0.6524822695035462,564,30,868,647,221,905,252,1.536283185840708,1.1451327433628318,0.3911504424778761,1.6017699115044248,0.44601769911504424,565,2022,1126,896,2135,620,1129,1.79096545615589,0.9973427812223208,1.8910540301151464,0.5491585473870682,24,0.6764705882352942,-22,0.36904761904761907,3,0.8
Aston Villa,663,572,91,748,200,1.3051181102362204,1.125984251968504,0.17913385826771652,1.4724409448818898,0.3937007874015748,508,27,568,768,-200,564,141,1.1181102362204725,1.5118110236220472,-0.3937007874015748,1.110236220472441,0.27755905511811024,508,1231,1340,-109,1312,341,1016,1.2116141732283463,1.3188976377952757,1.2913385826771653,0.33562992125984253,13,0.6756756756756757,-80,0.3888888888888889,79,0.7309941520467836
Barnsley,25,35,-10,25,7,1.3157894736842106,1.8421052631578947,-0.5263157894736842,1.3157894736842106,0.3684210526315789,19,1,12,47,-35,10,3,0.631578947368421,2.473684210526316,-1.8421052631578947,0.5263157894736842,0.15789473684210523,19,37,82,-45,35,10,38,0.9736842105263158,2.1578947368421053,0.9210526315789472,0.2631578947368421,35,0.631578947368421,-91,0.394919168591224,14,0.71875
Birmingham,162,140,22,196,50,1.218045112781955,1.0526315789473684,0.16541353383458646,1.4736842105263157,0.3759398496240602,133,7,111,220,-109,105,23,0.8345864661654135,1.6541353383458646,-0.8195488721804511,0.7894736842105263,0.17293233082706766,133,273,360,-87,301,73,266,1.0263157894736843,1.3533834586466165,1.131578947368421,0.2744360902255639,76,0.6301369863013698,-222,0.39528301886792455,17,0.717948717948718
Blackburn,507,363,144,549,156,1.5504587155963303,1.110091743119266,0.44036697247706424,1.6788990825688073,0.47706422018348627,327,17,352,498,-146,350,86,1.0764525993883791,1.5229357798165135,-0.44648318042813456,1.070336391437309,0.26299694189602446,327,859,861,-2,899,242,654,1.3134556574923548,1.31651376146789,1.374617737003058,0.37003058103975534,98,0.6231155778894473,-45,0.39631336405529954,6,0.7142857142857143
Blackpool,30,37,-7,20,5,1.5789473684210529,1.9473684210526316,-0.3684210526315789,1.0526315789473684,0.2631578947368421,19,1,25,41,-16,19,5,1.3157894736842106,2.1578947368421053,-0.8421052631578947,1,0.2631578947368421,19,55,78,-23,39,10,38,1.4473684210526316,2.0526315789473686,1.0263157894736843,0.2631578947368421,16,0.6212121212121212,-80,0.40049751243781095,17,0.7073170731707317
Bolton,319,313,6,354,93,1.2914979757085021,1.2672064777327936,0.0242914979757085,1.4331983805668016,0.3765182186234818,247,13,256,432,-176,221,56,1.0364372469635628,1.7489878542510122,-0.7125506072874493,0.8947368421052632,0.22672064777327935,247,575,745,-170,575,149,494,1.1639676113360324,1.508097165991903,1.1639676113360324,0.3016194331983806,126,0.6060606060606061,-219,0.40196956132497763,28,0.7058823529411765
Bournemouth,146,159,-13,139,37,1.3904761904761904,1.5142857142857142,-0.1238095238095238,1.3238095238095238,0.3523809523809524,105,6,114,213,-99,89,23,1.0857142857142856,2.0285714285714285,-0.9428571428571428,0.8476190476190476,0.21904761904761905,105,260,372,-112,228,60,210,1.238095238095238,1.7714285714285714,1.0857142857142856,0.2857142857142857,288,0.6021276595744681,-50,0.40384615384615385,4,0.7
Bradford,46,58,-12,45,10,1.2105263157894737,1.5263157894736843,-0.3157894736842105,1.1842105263157894,0.2631578947368421,38,2,22,80,-58,17,4,0.5789473684210527,2.1052631578947367,-1.5263157894736843,0.4473684210526316,0.10526315789473684,38,68,138,-70,62,14,76,0.8947368421052632,1.8157894736842104,0.8157894736842105,0.18421052631578944,133,0.6003016591251885,-99,0.4057142857142857,46,0.6982758620689655
Brentford,42,31,11,43,12,1.4482758620689655,1.0689655172413792,0.3793103448275862,1.4827586206896552,0.41379310344827586,29,2,38,53,-15,33,8,1.3103448275862069,1.827586206896552,-0.5172413793103449,1.137931034482759,0.27586206896551724,29,80,84,-4,76,20,58,1.3793103448275863,1.4482758620689655,1.3103448275862069,0.3448275862068966,275,0.5946317962835512,-47,0.4085603112840467,27,0.684931506849315
